# RTL_ID 22011200
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: sub.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
             221   N   00000450   402081b3   00000452   x02_sp     0000000b
             222   N   00000452   00000205   00000456   x03_gp     00000002
             223   N   00000456   00004289   00000458   x04_tp     00000001
             224   N   00000458   fe521ae3   0000045a   x05_t0     00000002
             225   N   0000045a   00004e89   0000044e   ---        --------
             228   N   0000044e   0000412d   00000450   x01_ra     0000000d
             229   N   00000450   402081b3   00000452   x02_sp     0000000b
             230   N   00000452   00000205   00000456   x03_gp     00000002
             231   N   00000456   00004289   00000458   x04_tp     00000002
             232   N   00000458   fe521ae3   0000045a   x05_t0     00000002
             233   N   0000045a   00004e89   0000045e   ---        --------
             234   N   0000045e   00004e59   00000460   x29_t4     00000002
             235   N   00000460   19d19863   00000462   x28_t3     00000016
             236   N   00000462   00004201   00000466   ---        --------
             237   N   00000466   000040b9   00000468   x04_tp     00000000
             238   N   00000468   0000412d   0000046a   x01_ra     0000000e
             239   N   0000046a   00000001   0000046c   x02_sp     0000000b
             240   N   0000046c   402081b3   0000046e   ---        --------
             241   N   0000046e   00000205   00000472   x03_gp     00000003
             242   N   00000472   00004289   00000474   x04_tp     00000001
             243   N   00000474   fe5219e3   00000476   x05_t0     00000002
             244   N   00000476   00004e8d   00000468   ---        --------
             247   N   00000468   0000412d   0000046a   x01_ra     0000000e
             248   N   0000046a   00000001   0000046c   x02_sp     0000000b
             249   N   0000046c   402081b3   0000046e   ---        --------
             250   N   0000046e   00000205   00000472   x03_gp     00000003
             251   N   00000472   00004289   00000474   x04_tp     00000002
             252   N   00000474   fe5219e3   00000476   x05_t0     00000002
             253   N   00000476   00004e8d   0000047a   ---        --------
             254   N   0000047a   00004e5d   0000047c   x29_t4     00000003
             255   N   0000047c   17d19a63   0000047e   x28_t3     00000017
             256   N   0000047e   00004201   00000482   ---        --------
             257   N   00000482   000040bd   00000484   x04_tp     00000000
             258   N   00000484   0000412d   00000486   x01_ra     0000000f
             259   N   00000486   00000001   00000488   x02_sp     0000000b
             260   N   00000488   00000001   0000048a   ---        --------
             261   N   0000048a   402081b3   0000048c   ---        --------
             262   N   0000048c   00000205   00000490   x03_gp     00000004
             263   N   00000490   00004289   00000492   x04_tp     00000001
             264   N   00000492   fe5218e3   00000494   x05_t0     00000002
             265   N   00000494   00004e91   00000484   ---        --------
             268   N   00000484   0000412d   00000486   x01_ra     0000000f
             269   N   00000486   00000001   00000488   x02_sp     0000000b
             270   N   00000488   00000001   0000048a   ---        --------
             271   N   0000048a   402081b3   0000048c   ---        --------
             272   N   0000048c   00000205   00000490   x03_gp     00000004
             273   N   00000490   00004289   00000492   x04_tp     00000002
             274   N   00000492   fe5218e3   00000494   x05_t0     00000002
             275   N   00000494   00004e91   00000498   ---        --------
             276   N   00000498   00004e61   0000049a   x29_t4     00000004
             277   N   0000049a   15d19b63   0000049c   x28_t3     00000018
             278   N   0000049c   00004201   000004a0   ---        --------
             279   N   000004a0   000040b5   000004a2   x04_tp     00000000
             280   N   000004a2   00000001   000004a4   x01_ra     0000000d
             281   N   000004a4   0000412d   000004a6   ---        --------
             282   N   000004a6   402081b3   000004a8   x02_sp     0000000b
             283   N   000004a8   00000205   000004ac   x03_gp     00000002
             284   N   000004ac   00004289   000004ae   x04_tp     00000001
             285   N   000004ae   fe5219e3   000004b0   x05_t0     00000002
             286   N   000004b0   00004e89   000004a2   ---        --------
             289   N   000004a2   00000001   000004a4   x01_ra     0000000d
             290   N   000004a4   0000412d   000004a6   ---        --------
             291   N   000004a6   402081b3   000004a8   x02_sp     0000000b
             292   N   000004a8   00000205   000004ac   x03_gp     00000002
             293   N   000004ac   00004289   000004ae   x04_tp     00000002
             294   N   000004ae   fe5219e3   000004b0   x05_t0     00000002
             295   N   000004b0   00004e89   000004b4   ---        --------
             296   N   000004b4   00004e65   000004b6   x29_t4     00000002
             297   N   000004b6   13d19d63   000004b8   x28_t3     00000019
             298   N   000004b8   00004201   000004bc   ---        --------
             299   N   000004bc   000040b9   000004be   x04_tp     00000000
             300   N   000004be   00000001   000004c0   x01_ra     0000000e
             301   N   000004c0   0000412d   000004c2   ---        --------
             302   N   000004c2   00000001   000004c4   x02_sp     0000000b
             303   N   000004c4   402081b3   000004c6   ---        --------
             304   N   000004c6   00000205   000004ca   x03_gp     00000003
             305   N   000004ca   00004289   000004cc   x04_tp     00000001
             306   N   000004cc   fe5218e3   000004ce   x05_t0     00000002
             307   N   000004ce   00004e8d   000004be   ---        --------
             310   N   000004be   00000001   000004c0   x01_ra     0000000e
             311   N   000004c0   0000412d   000004c2   ---        --------
             312   N   000004c2   00000001   000004c4   x02_sp     0000000b
             313   N   000004c4   402081b3   000004c6   ---        --------
             314   N   000004c6   00000205   000004ca   x03_gp     00000003
             315   N   000004ca   00004289   000004cc   x04_tp     00000002
             316   N   000004cc   fe5218e3   000004ce   x05_t0     00000002
